name,release_date,price,positive,negative,app_id,min_owners,max_owners,hltb_single
Tower of Shades,"Jan 15, 2020",1.99,35,8,1194940,0,20000,
Vanguard Princess,"Mar 3, 2014",2.49,2014,841,262150,200000,500000,1.0
IRON REBELLION,"Nov 9, 2021",11.99,168,39,1192900,50000,100000,
Treasures of the Ancients: Egypt,"Jun 6, 2018",0.99,55,91,866150,50000,100000,
Deadfall Adventures,"Nov 15, 2013",19.99,1716,628,231330,100000,200000,7.0
Reigns: Game of Thrones,"Oct 18, 2018",3.99,698,203,897820,50000,100000,2.0
CasinoRPG,"Jan 16, 2018",0.0,138,84,658970,50000,100000,
Fuyu no Tsuma,"Oct 15, 2021",1.99,2,2,1777550,0,20000,
Far Cry® 5,"Mar 26, 2018",59.99,100620,25286,552520,2000000,5000000,18.0
Loot Collection: Mahjong,"Oct 5, 2017",0.55,2,3,718350,20000,50000,
INFERNO CLIMBER,"Sep 8, 2016",14.99,60,46,433450,0,20000,47.0
Grim Tales: The Heir Collector's Edition,"Jul 30, 2021",9.99,7,1,1709450,20000,50000,
Mythos Ever After: A Cthulhu Dating Sim,"Oct 28, 2020",4.99,1,0,1431470,0,20000,
A Journey Through Valhalla,"Sep 12, 2021",5.99,3,3,763550,0,20000,
COUNTDOWN,"Jan 10, 2021",0.99,6,1,1445370,0,20000,
Colours of Magic: Aqua Teeter,"Apr 25, 2016",0.99,69,17,464230,20000,50000,1.0
Forza Horizon 4,"Mar 9, 2021",59.99,122539,15095,1293830,2000000,5000000,13.0
Viking Warrior,"Jan 19, 2021",3.99,2,17,1509640,0,20000,
不可思议佣兵团,"Oct 3, 2019",3.99,6,4,1135380,0,20000,
Square Keeper,"Jun 9, 2022",4.99,10,0,1944730,0,20000,
Pension Day,"Sep 3, 2019",0.99,0,1,1144900,20000,50000,
Slipstream 5000,"Oct 9, 2015",2.99,283,92,306350,200000,500000,1.0
100 Doors: Escape from Work,"Mar 1, 2022",9.99,7,2,1684530,0,20000,
Project MIKHAIL: A Muv-Luv War Story,"Nov 1, 2021",19.99,328,253,1557480,20000,50000,
Rezist: Tower Defense,"Sep 26, 2019",0.99,8,0,1128520,0,20000,
Black Mansion,"Jun 15, 2021",6.99,1,0,1647430,20000,50000,
Mirrorama,"Jan 12, 2022",7.49,17,0,1845050,0,20000,
Carrier Battles 4 Guadalcanal - Pacific War Naval Warfare,"Jun 5, 2020",29.99,180,27,1163340,0,20000,
Sally Face - Episode One,"Dec 14, 2016",2.99,11739,367,541570,500000,1000000,9.0
Crimson Spires,"Oct 27, 2020",19.99,51,6,1292520,0,20000,16.0
Endline,"Mar 29, 2021",4.99,1,0,1467330,0,20000,
Realms VR,"Sep 30, 2021",4.24,7,2,1624600,0,20000,
AmazeD 3D,"Jul 14, 2018",0.0,4,6,870000,0,20000,
The Warrior Of Treasures,"Jan 3, 2018",0.49,31,13,768060,0,20000,
Good Knight,"Sep 17, 2021",14.99,69,0,1281400,20000,50000,
Red Crow Mysteries: Legion,"May 28, 2015",3.99,10,26,372890,20000,50000,2.0
四国志でらっくす ～酒池肉うどん戦記～,"Jul 31, 2020",24.99,0,1,1023420,0,20000,
Crazy Critters - Combat Cats,"May 22, 2020",3.99,15,3,1141880,0,20000,
The Adventures of Jason and the Argonauts,"Feb 8, 2019",4.99,20,4,1022840,0,20000,6.0
DC Wonder: Unlimited,"Jun 14, 2017",4.99,1,0,652160,0,20000,
Halloween Puzzles,"Nov 6, 2018",0.49,1,2,968580,0,20000,
I Walk Among Zombies Vol. 3,"Dec 15, 2020",14.99,168,18,1131550,0,20000,5.0
Escape From School,"Sep 7, 2021",0.0,102,32,1729790,0,20000,
Aurion: Legacy of the Kori-Odan,"Apr 14, 2016",14.99,207,98,368080,20000,50000,25.0
Superola Champion Edition,"Jul 14, 2022",4.99,12,0,572510,20000,50000,
Teleporter: World of Gamers (Alpha),May 2020,0.0,44,9,1232510,0,20000,
Automobilista 2,"Jun 30, 2020",23.99,4278,491,1066890,200000,500000,
Marching Simulator,"Jul 29, 2018",0.0,35,11,817370,0,20000,
Oxygen Not Included,"Jul 30, 2019",24.99,82902,3014,457140,2000000,5000000,60.0
Laruaville 10 Match 3 Puzzle,"Oct 17, 2021",6.99,1,1,1774810,0,20000,
Slot Shots Pinball Collection,"Jun 21, 2022",9.99,12,0,1886290,0,20000,
Laid-Back Camp - Virtual - Lake Motosu,"Mar 3, 2021",13.99,245,70,1514360,0,20000,1.0
Kor,"Dec 23, 2021",9.99,50,0,1374280,20000,50000,
Bighead Runner,"Jun 7, 2018",0.99,82,26,863490,20000,50000,1.0
TowerClimb,"Sep 22, 2015",14.99,288,28,396640,0,20000,72.0
Mission Ammunition,"Oct 27, 2017",0.49,61,16,726020,0,20000,
The Glow,"Dec 10, 2015",3.99,8,16,424060,0,20000,
Fat City,"Oct 22, 2018",9.99,3,0,514870,0,20000,
Dark Eden,"Nov 28, 2016",0.0,124,132,548290,50000,100000,
Hex: Origins,"Sep 23, 2017",1.99,8,0,695420,0,20000,
ANARCHY,"May 7, 2020",0.0,12,6,1241110,500000,1000000,1.0
Dark Throne,"Mar 3, 2017",0.99,17,17,587490,0,20000,
Puyo Puyo™Tetris®,"Feb 27, 2018",19.99,4181,806,546050,500000,1000000,
Numba Deluxe,"May 23, 2014",2.99,164,95,301700,200000,500000,3.0
Pickup One,"Jun 3, 2022",19.99,0,1,2004200,0,20000,
DuckMan,"Apr 17, 2021",3.99,2,8,1588070,0,20000,4.0
DYNASTY WARRIORS 9,"Feb 13, 2018",44.99,3075,6009,730310,1000000,2000000,42.0
The Chaos Engine,"Aug 29, 2013",9.99,245,130,242530,100000,200000,7.0
Domino House,"Oct 28, 2020",7.99,21,1,1372570,0,20000,
Ragnarock,"Jul 15, 2021",16.24,2108,111,1345820,50000,100000,3.0
Into the Void,"Dec 4, 2015",1.99,80,50,420270,0,20000,
10 Second Ninja X,"Jul 19, 2016",0.99,2083,481,435790,200000,500000,2.0
咕啾！文鸟恋爱物语 Love Story of Sparrow,"Feb 1, 2019",0.99,242,27,926310,0,20000,
Critical Gravity,"Dec 16, 2019",9.99,6,2,788020,0,20000,
Go For Launch: Mercury,"Jul 4, 2021",9.99,53,11,467400,0,20000,
ARENA 8,"May 16, 2018",0.49,1,3,856730,20000,50000,
Furries & Scalies: Friendswood,"Jan 31, 2020",9.99,1,0,1106950,0,20000,
DEVOUR,"Jan 28, 2021",3.99,41425,3672,1274570,1000000,2000000,3.0
Doug Flutie's Maximum Football 2020,"Dec 29, 2020",29.99,26,24,1470790,0,20000,
Life In Yima / 依玛村生活,"Apr 5, 2021",5.99,14,2,1087620,0,20000,
Chicken Bomb,"Jul 29, 2020",0.99,68,3,1348430,0,20000,
Welcome To... Chichester 2 - Part II : No Extra Regrets For The Future,"Sep 30, 2021",9.99,6,0,1547580,0,20000,
Super Soccer Blast,"Jun 19, 2020",7.99,79,29,1253680,0,20000,
Line/Dash,"Jul 11, 2016",1.99,25,7,497670,0,20000,
PuzzGun,"May 9, 2018",2.99,15,1,850040,0,20000,
Santa's vacation,"Nov 22, 2017",1.99,9,4,741770,0,20000,
The Fan,"May 10, 2017",5.99,72,43,572330,0,20000,1.0
Misha Adventures,"Jul 25, 2021",10.99,10,10,1683240,0,20000,
Mosaics Galore,"Jul 27, 2018",0.49,68,20,567150,20000,50000,6.0
Kingdom: The Far Reaches,"Sep 8, 2017",9.99,2,0,700880,100000,200000,
Yoli TD,"Sep 28, 2021",4.99,26,0,1413090,0,20000,
Merek's Market,"Sep 15, 2021",19.99,16,0,1610860,0,20000,
BRAVE PINBALL,"Nov 26, 2020",9.99,11,9,1305570,0,20000,
Aliens vs. Ghosts,"Jul 6, 2022",4.99,69,2,1609730,0,20000,
伏雨录：少年篇,"May 11, 2018",6.99,72,8,717980,0,20000,
Grilled,"Nov 12, 2020",2.99,1,0,1417450,0,20000,
Magical Star Pillars,"Apr 27, 2018",0.0,1,0,778900,0,20000,
Biathlon Battle VR,"Feb 13, 2020",9.99,15,11,1004200,0,20000,
Bigfoot Forest,"Jan 8, 2021",0.99,73,15,1506230,0,20000,
Journey,"Jun 11, 2020",14.99,20432,1120,638230,500000,1000000,2.0
The Pointless Car Chase: Refueled,"Feb 22, 2022",0.74,26,3,1839080,0,20000,
Girlfriend Cards,"Sep 20, 2018",0.99,11,18,907460,0,20000,
Vetrix,"May 20, 2020",2.99,41,0,1307070,0,20000,
Ultra Foodmess,"Feb 20, 2020",3.99,65,3,1221640,0,20000,
Keeplanet,"Apr 6, 2018",0.99,14,8,703120,0,20000,
One Last Day,"Apr 28, 2015",12.99,65,38,328710,0,20000,
CHANGE: A Homeless Survival Experience,"May 1, 2020",14.99,1640,145,926140,100000,200000,4.0
天下镖局,"May 24, 2022",17.99,79,43,1700630,0,20000,
Destructions,"Jul 3, 2018",1.99,24,6,845290,0,20000,
Penkura,"Dec 19, 2018",9.99,37,3,739720,0,20000,
KarmaCrown,"Nov 2, 2021",2.99,2,0,1776800,0,20000,
Virtual Families 2: Our Dream House,"Jun 25, 2018",7.99,14,11,873970,0,20000,
Earth Marines,"Jul 13, 2021",10.99,13,5,1593100,0,20000,
Mystika 4 : Dark Omens,"Aug 8, 2020",9.99,10,1,1365900,20000,50000,
执行人 Executor,"Nov 6, 2018",1.99,14,2,962950,0,20000,
Hyperbolic Ignition,"Feb 12, 2018",0.99,3,3,778120,0,20000,
Third Rule of Universe.,"Nov 15, 2019",3.99,2,1,1187910,0,20000,
Slime Sports,"Feb 21, 2018",2.99,8,1,763350,0,20000,
Twilight Drive,"Jun 16, 2021",7.99,5,0,1537410,0,20000,
Worbital,"Jan 31, 2019",12.99,332,33,761910,0,20000,
Silver Chains,"Aug 6, 2019",24.99,420,147,975470,20000,50000,2.0
Neon Noodles - Cyberpunk Kitchen Automation,"Nov 29, 2019",14.99,33,1,990900,0,20000,
Floors of Discomfort,"May 26, 2015",1.99,5,2,372770,0,20000,
New Yankee in Santa's Service,"May 12, 2016",0.74,12,5,462580,0,20000,5.0
Twin Synth,"Oct 15, 2018",9.99,1,0,926870,0,20000,
Z.W!,"May 15, 2018",0.99,3,1,848720,0,20000,
Blocky Ball,"Mar 26, 2021",0.0,58,13,1343040,20000,50000,
Minds Eyes,"Aug 31, 2016",0.0,1078,440,519140,200000,500000,1.0
LIGHT,"Apr 5, 2018",0.99,5,4,821260,0,20000,1.0
To Save Humanity From Virus,"Apr 9, 2021",3.99,5,0,1565720,0,20000,
The Legend of Heroes: Trails of Cold Steel II,"Feb 14, 2018",39.99,2113,125,748490,50000,100000,49.0
Aoki Ookami to Shiroki Mejika,"Dec 13, 2016",12.99,2,1,545000,20000,50000,
BrainTeaser,"May 16, 2021",0.99,1,2,1623720,0,20000,
Damage: Sadistic Butchering of Humanity,"Dec 11, 2016",4.2,5,13,544220,0,20000,
Just Get Through,"Jan 30, 2015",4.99,185,28,338190,20000,50000,
Shape,"Sep 18, 2020",3.99,8,0,1375270,0,20000,
Bad birthday,"Nov 11, 2016",0.0,14,17,551680,0,20000,
Orbital Combat,"May 14, 2022",4.99,7,9,1693780,0,20000,
Survival Quiz CITY,"Mar 4, 2022",19.99,115,73,1466930,0,20000,
Space Tycoon | 星际大亨,"Jan 4, 2019",16.99,7,8,964920,0,20000,
Fables of Talumos,"Sep 1, 2019",6.99,8,0,1085570,0,20000,
Afterlife VR,"May 13, 2022",12.59,71,9,1528020,0,20000,
R.E.A.C.T,"Mar 21, 2022",5.99,0,1,1796350,0,20000,
Cat Saves Halloween,"Oct 26, 2020",7.99,20,1,1444320,0,20000,
Hentai Case Opening,"Sep 27, 2018",0.99,54,29,906050,0,20000,
Valhalla Hills,"Dec 2, 2015",0.69,646,544,351910,200000,500000,15.0
Geo,"Jan 31, 2017",8.99,138,22,513480,20000,50000,
Monster Energy Supercross - The Official Videogame 3,"Feb 4, 2020",29.99,900,126,1089830,20000,50000,
Silver Creek Falls: Chapter 2,"Sep 30, 2015",4.99,41,8,403070,0,20000,2.0
Gripper's Adventure,"Mar 21, 2018",10.99,1,0,811440,0,20000,
IN-VERT: Definitive Edition,"Mar 2, 2018",4.99,61,15,491010,20000,50000,2.0
Hare,"Sep 27, 2017",0.99,11,1,681290,0,20000,
Star Escape,"May 22, 2020",4.99,1,1,1233460,50000,100000,
Airport Firefighters - The Simulation,"May 13, 2015",17.99,94,107,350530,0,20000,
Frisbros,"Mar 18, 2022",9.99,7,0,1481840,0,20000,
Crazy Mafioso,"Nov 16, 2020",1.99,13,2,1444890,0,20000,
Anime Studio Tycoon,"Nov 12, 2020",9.99,16,14,1217340,0,20000,
Bunny Battle Arena,"Sep 12, 2018",2.99,5,2,872340,0,20000,
Honey Rose: Underdog Fighter Extraordinaire,"Sep 29, 2016",0.0,32,9,523680,20000,50000,
Ships 2017,"Oct 19, 2016",14.99,63,114,439460,20000,50000,
FORECLOSED,"Aug 12, 2021",16.99,46,25,1308880,0,20000,3.0
The Great Jitters: Pudding Panic,"May 22, 2014",4.99,48,26,296650,20000,50000,2.0
メンヘラフレシア　フラワリングアビス,"Jun 24, 2021",19.99,25,1,1549420,0,20000,
Draw Slasher,"Oct 13, 2016",1.99,388,373,418270,50000,100000,2.0
Toilet Tycoon,"Sep 17, 2015",4.99,102,47,390220,0,20000,5.0
One Night Stand,"Nov 7, 2016",2.99,546,67,549860,50000,100000,1.0
Cryptocracy,"Apr 11, 2017",0.99,5,3,612380,0,20000,
Bouncing Traveler,"May 24, 2021",9.99,7,3,1632640,0,20000,
Tales of Cosmos,"Oct 20, 2016",14.99,41,8,350480,0,20000,3.0
Jack Lumber,"Apr 30, 2013",4.99,225,128,220900,100000,200000,2.0
Clazer,"Dec 27, 2016",29.99,23,8,539090,0,20000,
crazy maze ~疯狂迷宫 ~ 狂った迷路 ~ Laberinto loco ~ Labyrinthe fou ~ Verrücktes Labyrinth,"Nov 1, 2018",0.0,12,11,908500,200000,500000,
Shining Resonance Refrain,"Jul 9, 2018",29.99,770,316,809890,20000,50000,30.0
古剑奇谭二(GuJian2),"Sep 7, 2017",15.99,1802,518,570770,200000,500000,74.0
Little Walker,"Apr 6, 2016",3.99,34,2,448500,0,20000,
Dino Dawn,"May 11, 2018",19.99,10,30,854160,0,20000,
Killer Dog,"Jul 16, 2020",3.99,8,3,1359170,0,20000,
Surface: Return to Another World Collector's Edition,"Aug 6, 2018",9.99,2,0,897010,0,20000,
Cub Gym,"May 5, 2021",3.99,1,0,1607870,0,20000,
Realpolitiks,"Feb 16, 2017",14.99,671,404,553260,50000,100000,80.0
Powargrid,"Oct 5, 2016",9.99,27,5,453130,0,20000,
Isorropia,"May 16, 2020",0.0,1,1,1297480,0,20000,
Khimera: Puzzle Island,"Nov 29, 2020",6.99,116,2,1217830,0,20000,3.0
Ultra Hat Dimension,"Jul 16, 2020",4.99,24,0,628830,0,20000,
Hard Time,"Aug 16, 2017",4.99,152,25,686440,0,20000,
Romance of the Three Kingdoms III,"Feb 21, 2017",19.99,9,9,521710,20000,50000,18.0
NETABOKU -A robot girl changes my life as a bedridden boy-,"Dec 17, 2020",9.99,3,0,1259660,0,20000,
Train Harder,"Apr 21, 2017",7.99,10,0,614150,0,20000,
SolidFace Parametric CAD Modeler 2D/3D,"Dec 22, 2014",0.0,1,0,304970,0,20000,
HUMBLE ZOMBIE,"May 27, 2021",1.99,5,1,1630940,20000,50000,
Sally's Salon: Kiss & Make-Up,"Jun 28, 2018",12.99,66,27,878520,0,20000,
Ninja Guy,"Jan 5, 2015",1.99,42,119,340630,20000,50000,1.0
Lumberjack VR,"Oct 13, 2017",0.0,10,5,704310,0,20000,
while True: learn(),"Jan 17, 2019",12.99,5491,477,619150,500000,1000000,8.0
Fight N' Fall,"Nov 26, 2021",9.99,1,0,1373890,0,20000,
The Adventures of Mr. Hat,"Feb 24, 2022",2.99,14,0,1869200,0,20000,
Murasaki,"May 12, 2016",4.99,85,8,392030,0,20000,4.0
Pinball Inside: A VR Arcade Game,"Mar 8, 2017",0.0,47,14,605850,0,20000,
Jelly Killer,"Mar 24, 2016",3.99,237,65,441670,20000,50000,2.0
"Tactics V: ""Obsidian Brigade""","Aug 8, 2019",19.99,20,6,962150,0,20000,
Choice of the Star Captain,"Jun 16, 2017",3.99,8,3,648510,0,20000,
Adventure of Great Wolf,"May 31, 2019",2.99,2,0,1071070,0,20000,
My Cashy Side Job at Lost&Found in the Subway of Million-Person City,"Nov 25, 2021",2.99,25,5,1761740,0,20000,
TURGUL: RAPID FIGHTING,"Dec 19, 2016",0.99,1,2,538700,0,20000,
Lost in Blindness,"May 17, 2021",9.99,24,0,1564150,0,20000,
Anchorhead,"Jan 31, 2018",9.99,35,2,726870,0,20000,38.0
Scikor - Final Scale,"Feb 28, 2020",3.99,5,0,1074390,0,20000,
Trekking and Camping | 远足与露营,"May 4, 2021",1.99,14,3,1554780,0,20000,
Spark and The Digital Daydream,"May 7, 2019",0.0,57,3,1065750,0,20000,
Google Spotlight Stories: Special Delivery,"Dec 14, 2017",0.0,35,5,714780,0,20000,1.0
Memory Note,"Dec 25, 2020",1.99,47,0,1321040,0,20000,
Hop Step Sing! Astral Piece,"Dec 12, 2019",6.99,83,1,1204930,0,20000,
Switchball HD - Puzzle Platformer,"May 17, 2021",2.69,59,7,1588760,0,20000,
Beyond Senses,"Jan 6, 2020",7.99,22,16,924740,0,20000,
Viking Saga: New World,"Nov 5, 2015",3.99,25,5,416340,0,20000,
Grappledrome,"Feb 13, 2017",0.0,17,3,242610,0,20000,1.0
Buried Alive: The Annihilation VR,"Jan 19, 2021",14.99,6,14,1168980,0,20000,
Sunset fighter,"Apr 18, 2020",11.99,2,0,1277340,0,20000,
Tactical Warfare Simulator,"Dec 21, 2020",49.99,1,5,1233610,0,20000,
Boson X,"Sep 15, 2014",2.99,1426,109,302610,200000,500000,3.0
VR Museum Tour Grand Collection,"Dec 8, 2020",4.99,1,2,1484150,0,20000,
Blood City,"Aug 28, 2018",2.99,18,0,922520,0,20000,
Magnesium_173,"Aug 19, 2021",14.99,3,0,1157200,0,20000,
Quest for Cathay Kingdom Mah Jong,"Mar 18, 2022",2.99,5,0,1862100,0,20000,
Hidden Desert War Top-Down 3D,"Jun 17, 2022",9.99,11,1,2022020,0,20000,
唤境引擎 Evkworld,"Jul 14, 2019",0.0,29,13,1099400,50000,100000,
The Agency of Anomalies: Mystic Hospital Collector's Edition,"Jul 18, 2016",9.99,14,0,503060,0,20000,2.0
Digital Dungeon Tiles,"Apr 13, 2020",29.99,3,5,1275970,0,20000,
Star Speeder,"May 11, 2018",0.99,5,0,847490,0,20000,
Mary Skelter: Nightmares,"Jul 19, 2018",24.99,421,54,837610,20000,50000,40.0
Unsung Heroes: The Golden Mask,"Jan 28, 2020",12.99,54,15,1029870,0,20000,
Gunball,"Jun 28, 2017",1.99,2,0,632240,0,20000,
DASH: Danger Action Speed Heroes,"Jun 6, 2019",9.99,15,0,898910,0,20000,
Trackmaster,"Dec 11, 2020",11.99,16,7,1042930,0,20000,
Brick Breaker,"Feb 20, 2017",9.99,35,42,539290,0,20000,1.0
Daldos,"Apr 18, 2022",7.99,3,0,1603600,0,20000,
MachRace,"Jun 30, 2016",9.99,9,1,489100,0,20000,
The Sight in a mirror,"May 31, 2020",1.99,1,0,1310620,0,20000,
Alien Planet,"Dec 4, 2017",0.99,2,0,740450,0,20000,
Tokyo Rogue,"Jul 15, 2022",12.99,12,0,1646090,0,20000,
Pinball HD Collection,"Aug 3, 2016",19.99,52,32,448670,0,20000,
Balloon Blowout,"Oct 28, 2016",0.99,57,72,542740,50000,100000,1.0
Mothlight,"Aug 25, 2017",0.0,351,19,687980,20000,50000,4.0
Darwin's bots: Episode 1,"Mar 27, 2017",7.99,9,8,612120,0,20000,
Damascus,"May 15, 2020",0.0,189,54,1259000,50000,100000,
Urban Trial Tricky™ Deluxe Edition,"Jul 22, 2021",19.99,15,9,1380060,0,20000,
Eat my Shuriken and Die!,"Jun 3, 2020",2.99,1,0,814560,0,20000,
Amoreon NightClub,"Sep 6, 2017",0.0,49,15,701100,20000,50000,
Crimson Ranch,"Sep 24, 2020",2.99,19,3,1407060,0,20000,
What The Dub?!,"Apr 8, 2021",7.99,205,15,1495860,0,20000,1.0
Strazeal,"Aug 26, 2019",1.99,1,0,1126970,0,20000,
Bitten! Someone has to be a villain,"Jun 3, 2021",2.99,5,5,1639530,0,20000,
The Curse of Nordic Cove,"Apr 23, 2015",0.99,15,15,358000,0,20000,
Ambushed,"Feb 5, 2022",1.49,0,2,1856080,0,20000,
Q.U.B.E: Director's Cut,"May 21, 2014",2.49,1438,285,239430,500000,1000000,3.0
Travis Strikes Again: No More Heroes Complete Edition,"Oct 17, 2019",39.99,298,43,961490,0,20000,9.0
Ossuary,"May 27, 2015",9.99,33,3,363500,0,20000,3.0
Zoo Empire,"Sep 3, 2015",6.99,98,32,286750,20000,50000,
Borderless Gaming,"Jul 23, 2015",3.99,2461,336,388080,200000,500000,
Doge to the Moon,"Mar 19, 2021",2.0,4,0,1565630,0,20000,
Ape Hit,"Aug 31, 2018",0.99,5,1,925360,0,20000,
Investigator,"Jun 1, 2016",4.99,654,277,482300,50000,100000,2.0
Sunshine & Overcast,"Oct 15, 2021",0.0,3,3,964910,0,20000,
Gra&Vity,"Oct 7, 2021",0.99,14,0,1716950,0,20000,
Roads of Rome 3,"Oct 19, 2015",3.99,27,9,411530,0,20000,
Expeditions: Conquistador,"May 30, 2013",19.99,1079,268,237430,100000,200000,28.0
Frog Climbers,"Oct 6, 2016",6.99,131,28,485120,20000,50000,1.0
Elems,"Nov 11, 2016",0.99,11,7,528670,200000,500000,
Cinders Of Hades,"Jan 26, 2021",2.99,1,2,1496530,0,20000,
TRIZEAL Remix,"Jul 7, 2016",11.99,22,2,465070,0,20000,
RePete,"Mar 9, 2016",1.99,31,6,448010,0,20000,2.0
Twisted Sails,"Mar 26, 2018",0.0,12,4,782630,20000,50000,
Goddess Of War Essa,"Apr 6, 2022",3.99,1,0,1941850,0,20000,
Pocket Plants,"Dec 7, 2020",0.0,15,13,1467740,0,20000,
Doler,"Jan 17, 2020",2.99,5,1,1212930,0,20000,
White Lavender,"Jun 20, 2022",4.99,30,3,1975670,0,20000,
Poly Puzzle: Cats,"Nov 17, 2021",1.99,3,2,1808480,0,20000,
Draoi,"Sep 27, 2018",19.99,0,1,818070,0,20000,
Thunder Kid,"Oct 22, 2018",7.99,29,3,944590,0,20000,
Understand,"Oct 30, 2020",3.99,409,31,1299400,20000,50000,
School of the Dead: Anastasia,"Nov 27, 2018",0.99,30,7,958090,0,20000,
Grimoire Chronicles,"Apr 20, 2017",0.51,44,15,607040,20000,50000,
Meditation VR,"Jul 31, 2020",0.0,49,16,1301850,0,20000,
Masquerade: The Baubles of Doom,"Apr 20, 2016",14.99,15,42,299380,0,20000,3.0
The Case of Maneki,"Mar 20, 2022",9.99,3,0,1626950,0,20000,
Nevermind,"Sep 29, 2015",19.99,319,93,342260,50000,100000,3.0
Dungless 2,"Jul 27, 2021",2.99,8,2,1684920,0,20000,
Tango: The Adventure Game,"Nov 16, 2018",2.99,50,9,888010,0,20000,2.0
Plenty: Skyhearth,"Oct 20, 2016",0.0,48,8,538950,20000,50000,
Carnivores: Dinosaur Hunter Reborn,"May 27, 2015",14.99,573,209,293520,50000,100000,1.0
"Calm Down, Stalin","Sep 8, 2016",3.99,846,99,502940,20000,50000,
Kandidatos,"Sep 1, 2020",0.99,2535,248,1395560,200000,500000,
凯旋岛,"Apr 4, 2019",0.0,11,10,1038680,0,20000,
Empathy: Path of Whispers,"May 16, 2017",19.99,110,69,291690,0,20000,4.0
Super Toxicboy,"Feb 25, 2020",0.99,1,0,1246200,0,20000,
Haunted House - The Murder,"Sep 21, 2021",1.99,0,3,1581010,0,20000,
Prisoner,"Jul 17, 2017",2.99,22,15,653210,0,20000,
MURI,"Dec 6, 2013",4.99,427,43,267360,20000,50000,1.0
Dynamic Dungeons Editor,"Oct 31, 2021",29.99,55,19,1694430,0,20000,
Horror In Valkeala,"Mar 3, 2022",0.99,17,16,1886850,0,20000,
SHINRAI - Broken Beyond Despair,"Aug 26, 2016",14.99,98,8,499910,0,20000,8.0
From Dusk To Dawn,"Jan 21, 2022",6.99,6,2,1863170,0,20000,
Kittens and Yarn,"Jun 17, 2021",1.99,108,6,1644840,0,20000,
Frisbee For Fun,"Nov 21, 2020",2.99,17,2,1422880,0,20000,
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,"Jul 18, 2016",19.99,7129,401,410320,1000000,2000000,22.0
Toy Tanks,"May 12, 2022",11.99,33,1,1345440,20000,50000,
Hotel Transylvania 3: Monsters Overboard,"Jul 10, 2018",24.99,10,4,757600,0,20000,5.0
Be Vigilant!,"Jan 23, 2022",15.0,4,0,952000,0,20000,
SICK,"Apr 30, 2022",9.99,13,13,1735930,0,20000,
HIT,"Feb 9, 2015",0.0,181,298,336670,200000,500000,
Fragments,"Nov 9, 2017",0.0,3,1,733420,20000,50000,1.0
RoadPunk,"Feb 20, 2021",0.99,4,2,1528770,0,20000,
The Herbalist,"Nov 15, 2016",5.99,559,35,542260,20000,50000,3.0
The Story Goes On,"Mar 2, 2018",4.99,102,19,369560,0,20000,2.0
VR JAPAN,"Jan 8, 2021",6.99,40,12,1494400,0,20000,
